IDValues,Name,Price,link,ModelNumber,Image
44,Epson WorkForce® WF-2760 Wireless Inkjet All-in-One Printer (C11CF77201),$129.94,https://www.staples.ca/en/Epson-WorkForce-WF-2760-Wireless-Inkjet-All-in-One-Printer-C11CF77201-/product_2256798_2-CA_1_20001,C11CF77201,https://www.staples-3p.com/s7/is/image/Staples/m004542627_sc7?$std$
45,Brother HL-5200DW Wireless Duplex Monochrome Laser Printer (HLL5200DW),$299.91,https://www.staples.ca/en/Brother-HL-5200DW-Wireless-Duplex-Monochrome-Laser-Printer-HLL5200DW-/product_1868139_2-CA_1_20001,HL-L5200DW,https://www.staples-3p.com/s7/is/image/Staples/m003935167_sc7?$std$
46,HP Officejet 250 Mobile All-in-One Printer (CZ992A#B1H),$399.71,https://www.staples.ca/en/HP-Officejet-250-Mobile-All-in-One-Printer-CZ992A-B1H-/product_2414864_2-CA_1_20001,CZ992A#B1H,https://www.staples-3p.com/s7/is/image/Staples/m004767562_sc7?$std$
47,Canon PIXMA (iP7220) Wireless Photo Inkjet Printer,$99.99,https://www.staples.ca/en/Canon-PIXMA-iP7220-Wireless-Photo-Inkjet-Printer/product_221617_2-CA_1_20001,6219B003,https://www.staples-3p.com/s7/is/image/Staples/s0795095_sc7?$std$
48,Canon MAXIFY MB2720 Small Office/Home Office All-in-One Inkjet Printer (0958C003),$129.92,https://www.staples.ca/en/Canon-MAXIFY-MB2720-Small-Office-Home-Office-All-in-One-Inkjet-Printer-0958C003-/product_2432868_2-CA_1_20001,0958C003,https://www.staples-3p.com/s7/is/image/Staples/m005844426_sc7?$std$
49,Brother HL-L2320D Monochrome Laser Printer (HLL2320D),$159.83,https://www.staples.ca/en/Brother-HL-L2320D-Monochrome-Laser-Printer-HLL2320D-/product_1074269_2-CA_1_20001,HL-L2320D,https://www.staples-3p.com/s7/is/image/Staples/m004075311_sc7?$std$
50,Epson Staples Only Expression Premium XP-640 AIO Printer,$79.96,https://www.staples.ca/en/Epson-Staples-Only-Expression-Premium-XP-640-AIO-Printer/product_2417127_2-CA_1_20001,C11CF50201,https://www.staples-3p.com/s7/is/image/Staples/m004816453_sc7?$std$
51,Lexmark CX417de Multifunction Colour Laser Printer (28DC550),$339.96,https://www.staples.ca/en/Lexmark-CX417de-Multifunction-Colour-Laser-Printer-28DC550-/product_2716174_2-CA_1_20001,28DC550,https://www.staples-3p.com/s7/is/image/Staples/m006148373_sc7?$std$
52,Brother MFC-9330CDW Colour Laser Multifunction Printer (MFC 9330CDW),$529.96,https://www.staples.ca/en/Brother-MFC-9330CDW-Colour-Laser-Multifunction-Printer-MFC-9330CDW-/product_1138778_2-CA_1_20001,MFC 9330CDW,https://www.staples-3p.com/s7/is/image/Staples/m004075313_sc7?$std$
53,Canon imageCLASS MF634Cdw Wireless Multifunction Colour Laser Printer (1475C005),$349.99,https://www.staples.ca/en/Canon-imageCLASS-MF634Cdw-Wireless-Multifunction-Colour-Laser-Printer-1475C005-/product_2656790_2-CA_1_20001,1475C005,https://www.staples-3p.com/s7/is/image/Staples/m006303196_sc7?$std$
