IDValues,Name,Price,link,ModelNumber,Image
25,"HP Refurbished Elite 8300 SFF Desktop Computer & 22"" LCD Monitor, 3.2 GHz Intel Core i5-3470, 240 GB SSD, 8 GB DDR3, Win10 Pro",$499.26,https://www.staples.ca/en/HP-Refurbished-Elite-8300-SFF-Desktop-Computer-22-LCD-Monitor-3-2-GHz-Intel-Core-i5-3470-240-GB-SSD-8-GB-DDR3-Win10-Pro/product_2675767_2-CA_1_20001,HP8300,
26,"Dell Refurbished Desktop (GX780), Intel Core 2 duo 3.0, 4GB RAM, 500GB HDD, DVD, Windows 10 Pro, English",$169.70,https://www.staples.ca/en/Dell-Refurbished-Desktop-GX780-Intel-Core-2-duo-3-0-4GB-RAM-500GB-HDD-DVD-Windows-10-Pro-English/product_1668250_2-CA_1_20001,DELL GX780,
27,"HP Refurbished Dimension 8300 SFF Computer + 2 x 24"" LCD Monitors, 3.2 GHz Intel Core i5-3470, 256 GB SSD, 16 GB DDR3, Win10 Pro",$599.92,https://www.staples.ca/en/HP-Refurbished-Dimension-8300-SFF-Computer-2-x-24-LCD-Monitors-3-2-GHz-Intel-Core-i5-3470-256-GB-SSD-16-GB-DDR3-Win10-Pro/product_2739672_2-CA_1_20001,HP ELITE 8300,
28,"HP 22-B209 Z5N57AA#ABL 21.5"" All-in-One Computer, 2.2 GHz AMD A8-7410, 1 TB HDD, 8 GB DDR3L SDRAM, Windows 10",$649.96,https://www.staples.ca/en/HP-22-B209-Z5N57AA-ABL-21-5-All-in-One-Computer-2-2-GHz-AMD-A8-7410-1-TB-HDD-8-GB-DDR3L-SDRAM-Windows-10/product_2719540_2-CA_1_20001,Z5N57AA#ABL,
29,"HP Pavilion 24-B239 Z5N39AA#ABL 23.8"" All-in-One Computer, 2.8 GHz AMD A12-9730P, 2 TB HDD, 12 GB DDR4 SDRAM, Windows 10",$999.96,https://www.staples.ca/en/HP-Pavilion-24-B239-Z5N39AA-ABL-23-8-All-in-One-Computer-2-8-GHz-AMD-A12-9730P-2-TB-HDD-12-GB-DDR4-SDRAM-Windows-10/product_2719536_2-CA_1_20001,Z5N39AA#ABL,
30,"MSI Nightblade 3 Gaming PC, 4.0 GHz Intel Core i7-7700, 1 TB HDD + 128 GB SSD, 16 GB DDR4, NVIDIA GeForce GTX 1060, Win10","$1,749.99",https://www.staples.ca/en/MSI-Nightblade-3-Gaming-PC-4-0-GHz-Intel-Core-i7-7700-1-TB-HDD-128-GB-SSD-16-GB-DDR4-NVIDIA-GeForce-GTX-1060-Win10/product_2711242_2-CA_1_20001,VR7RC-036CA,
31,"ASUS ROG Strix GD30CI-RB71-GTX1070-CB Gaming PC, 3.6 GHz Core i7, 1 TB HDD + 128 GB SSD, 16 GB DDR4, GeForce GTX 1070, Win10","$1,999.99",https://www.staples.ca/en/ASUS-ROG-Strix-GD30CI-RB71-GTX1070-CB-Gaming-PC-3-6-GHz-Core-i7-1-TB-HDD-128-GB-SSD-16-GB-DDR4-GeForce-GTX-1070-Win10/product_2727787_2-CA_1_20001,90PD02C1-M01990,
32,"Acer Aspire AZ3-715-ES11 23.8"" All-in-One Computer, 2.4 GHz Intel Core i5-7400, 1 TB HDD, 12 RAM, Windows 10",$899.99,https://www.staples.ca/en/Acer-Aspire-AZ3-715-ES11-23-8-All-in-One-Computer-2-4-GHz-Intel-Core-i5-7400-1-TB-HDD-12-RAM-Windows-10/product_2705617_2-CA_1_20001,DQ.B87AA.001,
33,"Apple iMac MNE92LL/A 27"" Retina 5K All-in-One Computer, 3.4 GHz, 1 TB Fusion, 8 GB DDR4, English","$2,399.00",https://www.staples.ca/en/Apple-iMac-MNE92LL-A-27-Retina-5K-All-in-One-Computer-3-4-GHz-1-TB-Fusion-8-GB-DDR4-English/product_2727452_2-CA_1_20001,none,
34,"Acer Aspire AZ22-780-ES11 21.5"" All-in-One Computer, 2.9 GHz Intel Pentium G4560T, 1 TB HDD, 8 RAM, Windows 10",$649.99,https://www.staples.ca/en/Acer-Aspire-AZ22-780-ES11-21-5-All-in-One-Computer-2-9-GHz-Intel-Pentium-G4560T-1-TB-HDD-8-RAM-Windows-10/product_2705615_2-CA_1_20001,DQ.B82AA.001,
35,"Acer Aspire TC-780-ES13 Tower Desktop Computer, 2.4 GHz Intel Core i5-7400, 2 TB HDD, 12 GB RAM, Windows 10",$799.99,https://www.staples.ca/en/Acer-Aspire-TC-780-ES13-Tower-Desktop-Computer-2-4-GHz-Intel-Core-i5-7400-2-TB-HDD-12-GB-RAM-Windows-10/product_2705612_2-CA_1_20001,DT.B89AA.020,
36,"HP Elite 8000 SFF Refurbished Compact Desktop Computer, 3.0 GHz Intel Core 2 Duo, 250 GB HDD, 4 GB DDR3, Windows 10 Home",$169.46,https://www.staples.ca/en/HP-Elite-8000-SFF-Refurbished-Compact-Desktop-Computer-3-0-GHz-Intel-Core-2-Duo-250-GB-HDD-4-GB-DDR3-Windows-10-Home/product_2596783_2-CA_1_20001,HP ELITE 8000,
37,"Apple iMac MNDY2LL/A 21.5"" Retina 4K, 3.0 GHz, 1 TB Storage, 8 GB DDR4, English","$1,729.00",https://www.staples.ca/en/Apple-iMac-MNDY2LL-A-21-5-Retina-4K-3-0-GHz-1-TB-Storage-8-GB-DDR4-English/product_2727445_2-CA_1_20001,none,
38,"HP Compaq (Elite 8000) Refurbished Desktop, 3.16 GHz Intel Core 2 Duo, 6GB RAM, 1TB HDD, Windows 10 Pro, English",$195.99,https://www.staples.ca/en/HP-Compaq-Elite-8000-Refurbished-Desktop-3-16-GHz-Intel-Core-2-Duo-6GB-RAM-1TB-HDD-Windows-10-Pro-English/product_1521164_2-CA_1_20001,ELITE 8000SFF,
39,"HP (DC7900 USFF) Refurbished Desktop, Intel Core 2 Duo, 3.0GHz, 2GB RAM, 160GB HDD, DVDROM, English",$109.22,https://www.staples.ca/en/HP-DC7900-USFF-Refurbished-Desktop-Intel-Core-2-Duo-3-0GHz-2GB-RAM-160GB-HDD-DVDROM-English/product_1598968_2-CA_1_20001,HP DC7900 USFF,
40,"HP Refurbished HP8300 Elite 8300 SFF Desktop Computer, 3.2 GHz Intel Core i5-3470, 500 GB HDD, 8 GB DDR3, Windows 10 Pro",$349.00,https://www.staples.ca/en/HP-Refurbished-HP8300-Elite-8300-SFF-Desktop-Computer-3-2-GHz-Intel-Core-i5-3470-500-GB-HDD-8-GB-DDR3-Windows-10-Pro/product_2624443_2-CA_1_20001,HP8300,
41,"HP (Pro SFF 6200) Refurbished Desktop, Intel Core i5 2400 (3.1GHz), 16GB RAM, 2TB HDD, Windows 10 Pro",$364.00,https://www.staples.ca/en/HP-Pro-SFF-6200-Refurbished-Desktop-Intel-Core-i5-2400-3-1GHz-16GB-RAM-2TB-HDD-Windows-10-Pro/product_2300585_2-CA_1_20001,HP 6200 PRO SFF,
42,"ASUS ROG GR8 II-T043Z VR Ready Gaming Computer, 3.6 GHz Core i7-7700, 1 TB HDD + 512 GB SSD, 16 GB DDR4, GeForce GTX 1060, Win10","$1,589.99",https://www.staples.ca/en/ASUS-ROG-GR8-II-T043Z-VR-Ready-Gaming-Computer-3-6-GHz-Core-i7-7700-1-TB-HDD-512-GB-SSD-16-GB-DDR4-GeForce-GTX-1060-Win10/product_2675779_2-CA_1_20001,GR8II-T043Z,
43,"Apple iMac MMQA2LL/A 21.5"", 2.3 GHz, 1 TB Storage, 8 GB DDR4, English","$1,399.00",https://www.staples.ca/en/Apple-iMac-MMQA2LL-A-21-5-2-3-GHz-1-TB-Storage-8-GB-DDR4-English/product_2727441_2-CA_1_20001,none,
44,"HP Pavilion 24-b209 23.8"" All-in-One Computer, 2.9 GHz AMD A9-9410, 1 TB HDD, 8 GB DDR4, Windows 10 Home (Z5N38AA#ABL)",$779.99,https://www.staples.ca/en/HP-Pavilion-24-b209-23-8-All-in-One-Computer-2-9-GHz-AMD-A9-9410-1-TB-HDD-8-GB-DDR4-Windows-10-Home-Z5N38AA-ABL-/product_2741291_2-CA_1_20001,Z5N38AA#ABL,
45,"HP Refurbished ELITE 8200 Desktop, Intel Core i7-2600 (3.4GHZ), 8GB RAM, 2TB HDD, DVDRW, Win 10 Pro, Bilingual",$449.73,https://www.staples.ca/en/HP-Refurbished-ELITE-8200-Desktop-Intel-Core-i7-2600-3-4GHZ-8GB-RAM-2TB-HDD-DVDRW-Win-10-Pro-Bilingual/product_1939886_2-CA_1_20001,ELITE 8200,
46,"Dell (Optiplex 7010) Refurbished Desktop, Intel Core i7 3770 (3.4GHz), 12GB RAM,  1TB HDD, Windows 10 Pro",$549.42,https://www.staples.ca/en/Dell-Optiplex-7010-Refurbished-Desktop-Intel-Core-i7-3770-3-4GHz-12GB-RAM-1TB-HDD-Windows-10-Pro/product_2300589_2-CA_1_20001,DELL 7010,
47,"Acer (AZ3-705-ES61) All-in-One Desktop, Intel Pentium 3805U, 4GB RAM, 1TB HDD, Windows 10",$479.97,https://www.staples.ca/en/Acer-AZ3-705-ES61-All-in-One-Desktop-Intel-Pentium-3805U-4GB-RAM-1TB-HDD-Windows-10/product_2282858_2-CA_1_20001,DQ.B2FAA.001,
48,"IBM Lenovo Refurbished Desktop (M58 USFF), Intel Dual Core, 4GB RAM, 500GB HDD, DVD-Rom, Win 10 Home, English",$144.99,https://www.staples.ca/en/IBM-Lenovo-Refurbished-Desktop-M58-USFF-Intel-Dual-Core-4GB-RAM-500GB-HDD-DVD-Rom-Win-10-Home-English/product_1569881_2-CA_1_20001,THINKCENTRE M57,
49,"Lenovo M58 SFF Refurbished Compact Desktop Computer, 3.0 GHz Intel Core 2 Duo, 250 GB HDD, 4 GB DDR3, Windows 10 Home",$159.00,https://www.staples.ca/en/Lenovo-M58-SFF-Refurbished-Compact-Desktop-Computer-3-0-GHz-Intel-Core-2-Duo-250-GB-HDD-4-GB-DDR3-Windows-10-Home/product_2596780_2-CA_1_20001,LENOVO M58,
