IDValues,Name,Price,link,ModelNumber,Image
29,"Lenovo (X130e) 11.6"" Refurbished Laptop, AMD FUSION E-300 DUAL CORE 1.3GHz, 4GB RAM, 320GB HDD, Windows 10",$234.95,https://www.staples.ca/en/Lenovo-X130e-11-6-Refurbished-Laptop-AMD-FUSION-E-300-DUAL-CORE-1-3GHz-4GB-RAM-320GB-HDD-Windows-10/product_2140155_2-CA_1_20001,LENOVO X130E,
30,"Gigabyte T1000 Pro 10.1"" Laptop 1.83 GHz Intel Atom N470, 2GB RAM, 250GB HDD, Windows 10 Pro, Refurbished, English/French",$140.00,https://www.staples.ca/en/Gigabyte-T1000-Pro-10-1-Laptop-1-83-GHz-Intel-Atom-N470-2GB-RAM-250GB-HDD-Windows-10-Pro-Refurbished-English-French/product_2260053_2-CA_1_20001,GIGABYTE T1000,
31,"ASUS ZenBook UX330CA-RHM1-CB 13.3"" Notebook, 1.0 GHz Intel Core M3-7Y30, 256 GB SSD, 8 GB LPDDR3, Windows 10",$849.97,https://www.staples.ca/en/ASUS-ZenBook-UX330CA-RHM1-CB-13-3-Notebook-1-0-GHz-Intel-Core-M3-7Y30-256-GB-SSD-8-GB-LPDDR3-Windows-10/product_2473639_2-CA_1_20001,UX330CA-RHM1-CB,
32,"Acer Spin 5 SP513-51-54K0 13.3"" Touch Screen 2-in-1, 2.5 GHz Intel Core i5-7200U, 256 GB SSD, 8 GB DDR4, Windows 10 Home",$849.97,https://www.staples.ca/en/Acer-Spin-5-SP513-51-54K0-13-3-Touch-Screen-2-in-1-2-5-GHz-Intel-Core-i5-7200U-256-GB-SSD-8-GB-DDR4-Windows-10-Home/product_2626277_2-CA_1_20001,SP513-51-54K0,
33,"ASUS ROG Strix GL753VD 17.3"" Gaming Laptop, 2.8 GHz Intel Core i7-7700HQ, 1 TB HDD, 16 GB DDR4, NVIDIA GeForce GTX 1050, Win10","$1,399.00",https://www.staples.ca/en/ASUS-ROG-Strix-GL753VD-17-3-Gaming-Laptop-2-8-GHz-Intel-Core-i7-7700HQ-1-TB-HDD-16-GB-DDR4-NVIDIA-GeForce-GTX-1050-Win10/product_2735042_2-CA_1_20001,GL753VD-SB71-CB,
34,"Lenovo IdeaPad 320 80XN000CCF 15.6"" Touch Screen Notebook, 2.5 GHz Intel Core i5-7200U, 1 TB HDD, 8 GB DDR4, Windows 10 Home",$749.99,https://www.staples.ca/en/Lenovo-IdeaPad-320-80XN000CCF-15-6-Touch-Screen-Notebook-2-5-GHz-Intel-Core-i5-7200U-1-TB-HDD-8-GB-DDR4-Windows-10-Home/product_2735320_2-CA_1_20001,LEN-80XN000CCF,
35,"HP 15-bs017ca 15.6"" Notebook, 2.0 GHz Intel Core i3-6006U, 1 TB HDD, 8 GB DDR4 SDRAM, Windows 10 Home",$549.99,https://www.staples.ca/en/HP-15-bs017ca-15-6-Notebook-2-0-GHz-Intel-Core-i3-6006U-1-TB-HDD-8-GB-DDR4-SDRAM-Windows-10-Home/product_2768170_2-CA_1_20001,15-BS017CA,
36,"HP Refurbished EliteBook 8470p 14"" Notebook, 2.6 GHz Intel Core i5-3320M, 240 GB SSD, 8 GB DDR3, Windows 10 Pro",$359.00,https://www.staples.ca/en/HP-Refurbished-EliteBook-8470p-14-Notebook-2-6-GHz-Intel-Core-i5-3320M-240-GB-SSD-8-GB-DDR3-Windows-10-Pro/product_2727081_2-CA_1_20001,ELITEBOOK 8470P,
37,"Lenovo IdeaPad 100S-14IBR 80R900FXUS 14"" Notebook, 1.6 GHz Intel Celeron N3060, 32 GB eMMC, 2 GB DDR3L, Windows 10 Home",$279.99,https://www.staples.ca/en/Lenovo-IdeaPad-100S-14IBR-80R900FXUS-14-Notebook-1-6-GHz-Intel-Celeron-N3060-32-GB-eMMC-2-GB-DDR3L-Windows-10-Home/product_2732883_2-CA_1_20001,80R900FXUS,
38,"Lenovo IdeaPad 320 80XN000BCF 15.6"" Touch Screen Notebook, 2.4 GHz Intel Core i3-7100U, 1 TB HDD, 6 GB DDR4, Windows 10 Home",$669.99,https://www.staples.ca/en/Lenovo-IdeaPad-320-80XN000BCF-15-6-Touch-Screen-Notebook-2-4-GHz-Intel-Core-i3-7100U-1-TB-HDD-6-GB-DDR4-Windows-10-Home/product_2735216_2-CA_1_20001,LEN-80XN000BCF,
