ID,Name,Price,Link,ModelNumber
35,"Samsung Galaxy On7 (Black, 8 GB)","₹6,590",https://www.flipkart.com/samsung-galaxy-on7-black-8-gb/p/itmeuyd9c5adb58r?pid=MOBECCA5SMRSKCNY&srno=b_3_5&otracker=browse&lid=LSTMOBECCA5SMRSKCNYKCMXZU&fm=organic&iid=df10a0a2-37ef-48a3-b8ea-e4e0fffaf221.MOBECCA5SMRSKCNY.SEARCH,SM-G600FZDDINS/SM-G600FZKDINS
36,"ZTE Blade A2 Plus (Golden, 32 GB)","₹7,999",https://www.flipkart.com/zte-blade-a2-plus-golden-32-gb/p/itmexgarg4ffx8yb?pid=MOBEXGARSBDDHZGF&srno=b_1_7&otracker=browse&lid=LSTMOBEXGARSBDDHZGF06BVPF&fm=organic&iid=4af6d125-95ac-4f60-98f6-836f4c4f6cab.MOBEXGARSBDDHZGF.SEARCH,V0730
37,"Panasonic P55 Max (Champagne Gold, 16 GB)","₹7,499",https://www.flipkart.com/panasonic-p55-max-champagne-gold-16-gb/p/itmevkgw4hz8xedg?pid=MOBEVKGWPP9ZJEQG&srno=b_5_5&otracker=browse&lid=LSTMOBEVKGWPP9ZJEQGSL6I1S&fm=organic&iid=d9efc1d8-897b-4b4d-bb84-428f75bd5333.MOBEVKGWPP9ZJEQG.SEARCH,EB-90S55PMXN
38,"Micromax Spark Vdeo (Champagne, 8 GB)","₹3,969",https://www.flipkart.com/micromax-spark-vdeo-champagne-8-gb/p/itmeuyd9724dg66v?pid=MOBETWG2FFEUNQST&srno=b_8_3&otracker=browse&lid=LSTMOBETWG2FFEUNQSTTNB6SJ&fm=organic&iid=60486b29-fd8d-4d46-a052-07da955a3095.MOBETWG2FFEUNQST.SEARCH,Q415
39,"Infinix Note 4 (Champagne Gold, 32 GB)","₹7,999",https://www.flipkart.com/infinix-note-4-champagne-gold-32-gb/p/itmewf3utfdfh3nf?pid=MOBEWF3UK5RQZJRA&srno=b_4_6&otracker=browse&lid=LSTMOBEWF3UK5RQZJRAOKPDKP&fm=organic&iid=8c52e91f-1064-4606-9b05-738ef018f98f.MOBEWF3UK5RQZJRA.SEARCH,X 572
40,Ismart IS-100Pro,₹699,https://www.flipkart.com/ismart-is-100pro/p/itmerznchycyrgee?pid=MOBERZGF2GFZAKZD&srno=b_2_10&otracker=browse&lid=LSTMOBERZGF2GFZAKZDD6KS8Q&fm=organic&iid=a4bd32a4-542a-49fb-908f-1f968e1d581b.MOBERZGF2GFZAKZD.SEARCH,IS-100Pro
41,"OPPO A57 (Black, 32 GB)","₹13,990",https://www.flipkart.com/oppo-a57-black-32-gb/p/itmeuyd94bswkfzp?pid=MOBETEGGMPMKWBYG&srno=b_7_4&otracker=browse&lid=LSTMOBETEGGMPMKWBYGBHF92E&fm=organic&iid=66f24114-0e79-4363-98c2-c09ddef71d5c.MOBETEGGMPMKWBYG.SEARCH,CPH1701
42,Ismart IS-100Pro,₹699,https://www.flipkart.com/ismart-is-100pro/p/itmerznchycyrgee?pid=MOBERZGF2GFZAKZD&srno=b_3_6&otracker=browse&lid=LSTMOBERZGF2GFZAKZDD6KS8Q&fm=organic&iid=1268ce7b-6f33-469d-9653-5d98201173b2.MOBERZGF2GFZAKZD.SEARCH,IS-100Pro
43,I Kall K11 Combo Of Two Mobile,₹999,https://www.flipkart.com/kall-k11-combo-two-mobile/p/itmexgbp5prfvhdw?pid=MOBEXGBPFBMFYK2M&srno=b_5_6&otracker=browse&lid=LSTMOBEXGBPFBMFYK2M0E8EDE&fm=organic&iid=adcf1259-de47-4e44-b512-00f5b558f712.MOBEXGBPFBMFYK2M.SEARCH,K11
44,"ZTE Blade A2 Plus (Grey, 32 GB)","₹7,999",https://www.flipkart.com/zte-blade-a2-plus-grey-32-gb/p/itmexgarg4ffx8yb?pid=MOBEXGARA3TCHNCA&srno=b_1_8&otracker=browse&lid=LSTMOBEXGARA3TCHNCATOSPAI&fm=organic&iid=97b83683-a98d-4b1c-a0ff-73c81ff7fd0c.MOBEXGARA3TCHNCA.SEARCH,V0730
