ID,Name,Price,Link,ModelNumber
24,Apple iPad 32 GB 9.7 inch with Wi-Fi Only,"₹22,900",https://www.flipkart.com/apple-ipad-32-gb-9-7-inch-wi-fi-only/p/itmespzmeutdxung?pid=TABESPZMM7PE2W4Y&srno=b_1_7&otracker=browse&lid=LSTTABESPZMM7PE2W4YYNLSTT&fm=organic&iid=ee94f763-1a2d-4196-961c-fb53e4a22182.TABESPZMM7PE2W4Y.SEARCH,MP2F2HN/A
25,"Extramarks Study Tab, Class 1st, CBSE 16 GB 8.9 inch with Wi-Fi+3G Tablet","₹17,499",https://www.flipkart.com/extramarks-study-tab-class-1st-cbse-16-gb-8-9-inch-wi-fi-3g-tablet/p/itmeq4fwcbwrztzs?pid=TABEQ4FQNJBXN8VS&srno=b_7_2&otracker=browse&lid=LSTTABEQ4FQNJBXN8VSBDRS84&fm=organic&iid=cef6af09-444f-4d4d-8c67-13fe81ed6863.TABEQ4FQNJBXN8VS.SEARCH,"Smart Study Tab, Class 1st, EW-200"
26,Videocon VA75 4 GB 7 inch with Wi-Fi+2G Tablet,"₹5,899",https://www.flipkart.com/videocon-va75-4-gb-7-inch-wi-fi-2g-tablet/p/itmeqsbufzregdx6?pid=TABEQSBUFKEPP4R3&srno=b_8_1&otracker=browse&lid=LSTTABEQSBUFKEPP4R34O80WR&fm=organic&iid=11ed8720-0166-45e9-80a8-24b3ad1800dc.TABEQSBUFKEPP4R3.SEARCH,VA75
27,"Lenovo Phab 2 (Gunmetal Gray, 32 GB)","₹8,999",https://www.flipkart.com/lenovo-phab-2-gunmetal-gray-32-gb/p/itmep4bhwqtfmpdd?pid=MOBEZPVENHEVMQDZ&srno=b_2_6&otracker=browse&lid=LSTMOBEZPVENHEVMQDZISYRRI&fm=organic&iid=1e555366-ea1d-41ee-88f0-544b13a96767.MOBEZPVENHEVMQDZ.SEARCH,PB2-650M
28,Apple iPad Pro 64 GB 10.5 inch with Wi-Fi Only,"₹49,900",https://www.flipkart.com/apple-ipad-pro-64-gb-10-5-inch-wi-fi-only/p/itmeuqasrfacyufm?pid=TABEUQASYZJ9FXHD&srno=b_4_4&otracker=browse&lid=LSTTABEUQASYZJ9FXHDZPQJKD&fm=organic&iid=a4d21f5f-0325-45ce-9084-e9b5b7dcf341.TABEUQASYZJ9FXHD.SEARCH,MQDY2HN/A
29,Micromax Funbook Talk P362 Tablet,"₹6,400",https://www.flipkart.com/micromax-funbook-talk-p362-tablet/p/itmdjsgau32gfrqh?pid=TABDJSG8FGUDJPSR&srno=b_6_3&otracker=browse&lid=LSTTABDJSG8FGUDJPSRCQVF5X&fm=organic&iid=bd735793-627d-492d-905b-9a3480d88872.TABDJSG8FGUDJPSR.SEARCH,Funbook Talk P362
30,"Lenovo Phab 2 (Gunmetal Gray, 32 GB)","₹8,999",https://www.flipkart.com/lenovo-phab-2-gunmetal-gray-32-gb/p/itmep4bhwqtfmpdd?pid=MOBEZPVENHEVMQDZ&srno=b_5_4&otracker=browse&lid=LSTMOBEZPVENHEVMQDZISYRRI&fm=organic&iid=59a69d77-02d9-438a-bf1c-3bbae6312fd0.MOBEZPVENHEVMQDZ.SEARCH,PB2-650M
31,Swipe Strike 4G VoLTE 16 GB 7 inch with Wi-Fi+4G Tablet,"₹5,999",https://www.flipkart.com/swipe-strike-4g-volte-16-gb-7-inch-wi-fi-4g-tablet/p/itmehs9yhvganrtn?pid=TABEHS9YZARC6SDS&srno=b_1_8&otracker=browse&lid=LSTTABEHS9YZARC6SDSJ3SOKW&fm=organic&iid=c1a3bf97-055c-4a4a-be5f-08e5d62dbccc.TABEHS9YZARC6SDS.SEARCH,none
32,"Extramarks Study Tab, Class 4th, CBSE 16 GB 8.9 inch with Wi-Fi+3G Tablet","₹17,499",https://www.flipkart.com/extramarks-study-tab-class-4th-cbse-16-gb-8-9-inch-wi-fi-3g-tablet/p/itmeq4fwdcqtkt7w?pid=TABEQ4FWHQWGNK5Q&srno=b_7_3&otracker=browse&lid=LSTTABEQ4FWHQWGNK5QZTB2LL&fm=organic&iid=5c35dbbf-6dee-459c-be9a-95b8a8491d77.TABEQ4FWHQWGNK5Q.SEARCH,"Smart Study Tab, Class 4th, EW-200"
33,"Lenovo Phab 2 (Champagne Gold, 32 GB)","₹8,999",https://www.flipkart.com/lenovo-phab-2-champagne-gold-32-gb/p/itmep4bhwqtfmpdd?pid=MOBEZPVEGADXHMHT&srno=b_3_6&otracker=browse&lid=LSTMOBEZPVEGADXHMHTRHVPVC&fm=organic&iid=218e73d2-7291-4161-a0b0-a56200b94c51.MOBEZPVEGADXHMHT.SEARCH,PB2-650M
