PE62 7RD,"['flipkart', 30L, 'flipkart', 133L]"
RZ09-01953E73-R3U1,"['amazon', 32L]"
MD500,"['walmart', 256L]"
P1B01UA#ABL,"['amazon', 868L]"
LENLEA811,"['amazon', 953L]"
AW15R3-7390SLV-PUS,"['amazon', 927L]"
DK2,"['amazon', 792L]"
GS63VR 7RG-038CA,"['amazon', 914L]"
GT73VR 7RE494CA,"['staples', 183L]"
4D9GT,"['bestbuy', 1353L]"
GMA3200INC,"['walmart', 104L]"
WIT-NBW-SKP01,"['walmart', 145L]"
Generic,"['amazon', 691L, 'amazon', 859L]"
T420,"['newEgg', 1898L, 'newEgg', 2005L]"
GT62VR 6RD-026CA,"['amazon', 103L]"
261710BLK,"['walmart', 245L]"
15Z970-U.AAS5U1,"['amazon', 685L]"
NX.GM8AA.001,"['bestbuy', 963L]"
X9E2-P870DM3-125,"['bestbuy', 403L]"
67877.0,"['walmart', 114L]"
U342-SHG-001,"['amazon', 854L]"
X7E2-P775DM3-128,"['bestbuy', 871L]"
43K4P,"['bestbuy', 1208L]"
X7E2-P775DM3-127,"['bestbuy', 623L]"
CX62 7QL-070CA,"['bestbuy', 567L, 'staples', 90L]"
V1Q01UT#ABA,"['newEgg', 1228L]"
VOX-01,"['snapdeal', 30L]"
GL62 7RD,"['flipkart', 28L]"
L430,"['newEgg', 1793L]"
1UG90UA#ABL,"['amazon', 1234L]"
WS63 7RK,"['flipkart', 274L, 'flipkart', 319L]"
GL702VM-DS74,"['amazon', 2L]"
1130,"['snapdeal', 126L, 'flipkart', 318L]"
RZ09-01663E52-R3U1,"['amazon', 128L]"
MAIN-94318,"['amazon', 583L]"
V1P78UT#ABL,"['newEgg', 1670L]"
T460 (20FN002SUS),"['newEgg', 10L]"
Air Stick,"['amazon', 520L]"
P57Wv7-KL3,"['amazon', 645L]"
L9H59UT#ABA,"['newEgg', 1571L]"
3001055,"['amazon', 1037L]"
MSI-GS63VR-Pro-002-HID5-CA,"['amazon', 1070L]"
MSI-GS73VR-Pro-033-HID10-CA,"['amazon', 971L]"
X4E2-P750DM-130,"['bestbuy', 896L]"
455743BLK,"['walmart', 208L]"
GT73VR 7RE-494CA,"['bestbuy', 533L, 'bestbuy', 874L, 'amazon', 157L]"
20FB002RUS,"['newEgg', 201L]"
T430s,"['newEgg', 1903L]"
GT73VR,"['newEgg', 847L, 'newEgg', 1101L]"
N5S53UA#ABL,"['amazon', 943L]"
Com-N350DV-111,"['bestbuy', 928L]"
MSI-GS63VR-Pro-002-HID6-CA,"['amazon', 1065L]"
P70 (20ER002KCA),"['newEgg', 295L]"
SLC8500INC,"['walmart', 169L]"
NP940X5M-X01US,"['amazon', 1097L]"
WT72 2OK-1299US,"['amazon', 752L]"
GT72S 6QE-835CA Dominator Pro G Tobii,"['amazon', 328L]"
XE500C13-K03US,"['amazon', 1060L]"
GS63VR7RG038CA,"['staples', 514L]"
WT73VR7RM635CA,"['staples', 333L]"
GP62MVR Leopard Pro-218,"['amazon', 693L]"
EWT935DK,"['amazon', 488L]"
GT83VR 7RF-200CA,"['amazon', 451L]"
1UG82UA#ABL,"['amazon', 1147L]"
TEW-812DRU,"['amazon', 379L]"
4801501,"['walmart', 260L]"
WT72 2OL-1400US,"['bestbuy', 815L, 'amazon', 674L, 'staples', 402L]"
20H5009MUS,"['bestbuy', 417L]"
GS43VR 7RE-072CA,"['bestbuy', 643L, 'bestbuy', 777L, 'amazon', 185L]"
RZ09-01161E31-R3U1,"['amazon', 305L]"
MSI-GS63VR-Pro-002-HID8-CA,"['amazon', 1151L]"
15,"['flipkart', 203L]"
P950HR,"['amazon', 1007L, 'amazon', 1009L, 'amazon', 1013L, 'amazon', 1015L, 'amazon', 1019L, 'amazon', 1022L, 'amazon', 1024L, 'amazon', 1027L, 'amazon', 1031L]"
T420-B,"['newEgg', 1889L]"
1UH09UA#ABL,"['amazon', 1199L]"
VTA330-11,"['amazon', 603L]"
MX5-P650RE-101,"['bestbuy', 1135L]"
MSI-GS73VR-Pro-033-HID3-CA,"['amazon', 977L]"
468929BLK,"['walmart', 242L]"
CF-52VAABY1M,"['newEgg', 675L]"
LT666,"['snapdeal', 79L]"
GS63VR 7RF-236CA,"['amazon', 123L]"
GL62M,"['flipkart', 211L]"
468044BLK,"['walmart', 147L]"
MSI-GS73VR-Pro-033-HID8-CA,"['amazon', 982L]"
MLMX2LL/A,"['amazon', 287L]"
264201BLK,"['walmart', 258L]"
Exemplaire,"['snapdeal', 11L]"
T560 (20FH001QCA),"['newEgg', 447L]"
7540-P,"['amazon', 907L]"
WE62 7RJ-1837CA,"['bestbuy', 366L, 'bestbuy', 708L, 'amazon', 633L]"
P70 (20ER002KUS),"['newEgg', 126L, 'newEgg', 583L]"
MD28401,"['walmart', 205L]"
GE62MVR7RG043CA,"['staples', 511L]"
GE62 7RD-471CA,"['staples', 68L]"
K64998WW,"['amazon', 984L]"
T560 (20FH001RCA),"['newEgg', 1123L]"
GS73VR7RG036CA,"['staples', 549L]"
AW15R3-0012SLV,"['bestbuy', 193L, 'amazon', 212L]"
1UG71UA#ABL,"['amazon', 1237L]"
FPCM45171,"['amazon', 958L]"
GT83VR 7RF200CA,"['staples', 190L]"
V2W30UT#ABL,"['amazon', 788L]"
T560 (20FH001TUS),"['newEgg', 147L, 'newEgg', 534L]"
62620,"['walmart', 190L]"
9S7-181412-011,"['amazon', 147L]"
62622,"['walmart', 166L]"
Y9G09UT#ABA,"['amazon', 1017L]"
Apache Pro-650,"['amazon', 993L, 'amazon', 997L, 'amazon', 1021L, 'amazon', 1025L]"
GS63VR 7RF-446CA,"['amazon', 155L]"
WIT-NBW-MPC01,"['walmart', 185L, 'walmart', 196L]"
F4-2133C15D-32GVR,"['amazon', 816L]"
Aero 14Wv7-OG4,"['amazon', 388L]"
700462518,"['amazon', 367L]"
Lifebook,"['flipkart', 259L]"
MSI-GT73VR-4K-13,"['newEgg', 1024L]"
AW15R3-7376SLV-PUS,"['amazon', 882L]"
9S7-178211-269,"['amazon', 354L]"
MSI-GT73VR-4K-14,"['newEgg', 1382L]"
PAD-HGL,"['walmart', 171L]"
V1P72UT#ABL,"['newEgg', 1303L]"
GF486,"['walmart', 239L]"
WE62 7RJ,"['flipkart', 297L, 'flipkart', 315L]"
43955804,"['amazon', 1227L]"
46G0N,"['bestbuy', 1331L]"
V1H59UT#ABA,"['newEgg', 770L]"
AW17R4-7000SLV-PUS,"['bestbuy', 86L]"
GL502VM-DS74,"['amazon', 82L]"
WE627RJ1837CA,"['staples', 361L]"
468900BLK,"['walmart', 8L]"
467706BLK,"['walmart', 230L]"
iview-895qw,"['amazon', 443L]"
MLMQ2LL/A,"['amazon', 53L]"
PAD-SSLT,"['walmart', 161L]"
MSI-GP72X-Pro-622-HID7,"['amazon', 529L]"
NX.EF2AA.010,"['bestbuy', 775L]"
Flip-x5,"['flipkart', 47L]"
XE303C12-A01US,"['amazon', 433L]"
W0S98UT#ABA,"['amazon', 57L]"
GL62 7RDX,"['flipkart', 127L, 'flipkart', 217L]"
NP930X2K-S02US,"['amazon', 925L]"
20H1006ACA,"['bestbuy', 1116L]"
W0S98UT#ABL,"['newEgg', 611L]"
K62903,"['newEgg', 1647L]"
Flip-X5,"['snapdeal', 16L]"
SVT13134CXS,"['newEgg', 1087L]"
NX.VDFAA.007,"['bestbuy', 774L]"
NX.VDFAA.009,"['bestbuy', 625L]"
CF-19,"['amazon', 737L]"
